name,image_url
"Shiny White Graduation Cap with Tassel",no_selection
"Shiny Silver Graduation Cap with Tassel",no_selection
"Shiny Light Blue Graduation Cap with Tassel",no_selection
"Shiny Royal Blue Graduation Cap with Tassel",no_selection
"Shiny Navy Blue Graduation Cap with Tassel",no_selection
"Shiny Purple Graduation Cap with Tassel",no_selection
"Shiny Gold Graduation Cap with Tassel",no_selection
"Shiny Orange Graduation Cap with Tassel",no_selection
"Shiny Pink Graduation Cap with Tassel",no_selection
"Shiny Red Graduation Cap with Tassel",no_selection
"Shiny Maroon Graduation Cap with Tassel",no_selection
"Shiny Brown Graduation Cap with Tassel",no_selection
"Shiny Green Graduation Cap with Tassel",no_selection
"Shiny Emerald Green Graduation Cap with Tassel",no_selection
"Shiny Hunter Graduation Cap with Tassel",no_selection
"Shiny Black Graduation Cap with Tassel",no_selection
"Matte White Graduation Cap with Tassel",/m/a/matte_white2_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_white1_high_school_cap_tassel_2018_3.jpg
"Matte Royal Blue Graduation Cap with Tassel",/m/a/matte_royal_blue_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_royal_blue1_high_school_cap_tassel_2018_3.jpg
"Matte Navy Blue Graduation Cap with Tassel",/m/a/matte_navy_blue1_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_navy_blue_2_high_school_cap_tassel_2018_3.jpg
"Matte Purple Graduation Cap with Tassel",/m/a/matte_purple2_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_purple1_high_school_cap_tassel_2018_3.jpg
"Matte Gold Graduation Cap with Tassel",no_selection
"Matte Red Graduation Cap with Tassel",/m/a/matte_red1_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_red2_high_school_cap_tassel_2018_3.jpg
"Matte Maroon Graduation Cap with Tassel",/m/a/matte_maroom1_high_school_cap_tassel_2018_3.jpg
"",/m/a/matte_maroon_high_school_cap_tassel_2018_3.jpg
"Matte Green Graduation Cap with Tassel",no_selection
"Matte Emerald Green Graduation Cap with Tassel",no_selection
"Matte Hunter Graduation Cap with Tassel",no_selection
"Matte Black Graduation Cap with Tassel",no_selection
"Child White Graduation Cap with Tassel",/s/h/shiny_white_highschool_caps_7.jpg
"",/s/h/shiny_white1_highschool_caps_7.jpg
"Child Silver Graduation Cap with Tassel",/s/h/shiny_silver1_highschool_caps_7.jpg
"",/s/h/shiny_silver_highschool_caps_7.jpg
"Child Light Blue Graduation Cap with Tassel",/s/h/shiny_light_blue_highschool_caps_7.jpg
"",/s/h/shiny_light_blue1_highschool_caps_7.jpg
"Child Royal Blue Graduation Cap with Tassel",/s/h/shiny_royal_blue_highschool_caps_1_1.jpg
"",/s/h/shiny_royal_blue1_highschool_caps_7.jpg
"Child Navy Blue Graduation Cap with Tassel",/s/h/shiny_navy_blue_highschool_caps_7.jpg
