name,color,description
Custom Doctorate Hood,,Custom Doctorate Hood •Premium matte finished fabric •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length and 17" wide •Trimmed with velvet band 5" wide •Custom professional sewing and construction •Looping for attachment to doctoral gown
Custom Diploma of Graduation Cover,,Diploma Cover •High quality leatherette bound material •Chose the text; font and logo that you want •Satin panel interior •Silk folded ribbons on the corners •Cover measures 8.5" by 11" and opens horizontally
Custom Master Hood,,Custom Master Hood •Premium matte finished fabric  •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length and 17" wide •Premium 3" wide velvet degree color accents •Custom professional sewing and construction •Looping for attachment to master gown 
Custom Bachelor Hood,,Custom Bachelor Hood •Premium matte finished fabric •Crafted of velvet fabric and lined with satin for comfort •The hood measures 42" in length •Premium 2 1/2" wide velvet degree color accents •Custom professional sewing and construction •Looping for attachment to bachelor gown
Shiny White Graduation Cap,White,Shiny White Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Silver Graduation Cap,Silver,Shiny Silver Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Light Blue Graduation Cap,Light Blue,Shiny Light Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Royal Blue Graduation Cap,Royal Blue,Shiny Royal Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Navy Blue Graduation Cap,Navy Blue,Shiny Navy Blue Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Purple Graduation Cap,Purple,Shiny Purple Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Gold Graduation Cap,Gold,Shiny Gold Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Orange Graduation Cap,Orange,Shiny Orange Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Pink Graduation Cap,Pink,Shiny Pink Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Red Graduation Cap,Red,Shiny Red Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Maroon Graduation Cap,Maroon,Shiny Maroon Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Brown Graduation Cap,Brown,Shiny Brown Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Green Graduation Cap,Green,Shiny Green Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Emerald Green Graduation Cap,Green,Shiny Emerald Green Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Hunter Graduation Cap,,Shiny Hunter Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Shiny Black Graduation Cap,Black,Shiny Black Cap  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte White Graduation Cap,White,Matte White Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Royal Blue Graduation Cap,Royal Blue,Matte Royal Blue Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Navy Blue Graduation Cap,Navy Blue,Matte Navy Blue Cap  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
Matte Purple Graduation Cap,Purple,Matte Purple Graduation Cap.  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed   
