name,color,description,Tassel Color 1,Tassel Color 2,Tassel Color 3
Shiny Maroon Graduation Cap- Gown & Tassel,Maroon,Shiny Maroon Cap; Gown & Tassel  &bull;Gown crafted from shiny Maroon tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching maroon color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Shiny Brown Graduation Cap- Gown & Tassel,Brown,Shiny Brown Cap; Gown & Tassel  &bull;Gown crafted from shiny Brown tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching brown color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Shiny Green Graduation Cap- Gown & Tassel,Green,Shiny Green Cap; Gown & Tassel  &bull;Gown crafted from shiny Green tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching green color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Shiny Emerald Green Graduation Cap- Gown & Tassel,Green,Shiny Emerald Green Cap; Gown & Tassel  &bull;Gown crafted from shiny Emerald Green tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching emerald green color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Shiny Hunter Green Graduation Cap- Gown & Tassel,Hunter Green,Shiny Hunter Cap; Gown & Tassel  &bull;Gown crafted from shiny Hunter tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching hunter color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Shiny Black Graduation Cap- Gown & Tassel,Black,Shiny Black Cap; Gown & Tassel  &bull;Gown crafted from shiny Black tricot fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching black color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte White Graduation Cap- Gown & Tassel,White,Matte White Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching white color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Royal Blue Graduation Cap- Gown & Tassel,Royal Blue,Matte Royal Blue Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching royal blue color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Navy Blue Graduation Cap- Gown & Tassel,Navy Blue,Matte Navy Blue Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching navy blue color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Matte Purple Graduation Cap- Gown & Tassel,Purple,Matte Purple Cap; Gown & Tassel  &bull;Gown crafted from sleek matte finished fabric  &bull;Distinctive pleats on front and back  &bull;Sturdy hidden zipper in matching purple color  &bull;Crease resistant fabric to ensure you look your best  &bull;Reinforced stitching throughout the cap and gown  &bull;The set includes a classic matching one size fits all graduation cap  &bull;Graduation cap comes with a high quality tassel and commemorative year drop ,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
