name,color,description,Tassel Color 1,Tassel Color 2,Tassel Color 3
Shiny White Graduation Cap with Tassel,White,Shiny White Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,,
Shiny Silver Graduation Cap with Tassel,Silver,Shiny Silver Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Light Blue Graduation Cap with Tassel,Light Blue,Shiny Light Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Royal Blue Graduation Cap with Tassel,Royal Blue,Shiny Royal Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Navy Blue Graduation Cap with Tassel,Navy Blue,Shiny Navy Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Purple Graduation Cap with Tassel,Purple,Shiny Purple Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Gold Graduation Cap with Tassel,Gold,Shiny Gold Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Orange Graduation Cap with Tassel,Orange,Shiny Orange Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Pink Graduation Cap with Tassel,Pink,Shiny Pink Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Red Graduation Cap with Tassel,Red,Shiny Red Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Maroon Graduation Cap with Tassel,Maroon,Shiny Maroon Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Brown Graduation Cap with Tassel,Brown,Shiny Brown Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Green Graduation Cap with Tassel,Green,Shiny Green Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Emerald Green Graduation Cap with Tassel,Green,Shiny Emerald Green Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Hunter Graduation Cap with Tassel,,Shiny Hunter Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Shiny Black Graduation Cap with Tassel,Black,Shiny Black Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
Matte White Graduation Cap with Tassel,White,Matte White Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   ,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White,Antique Gold  ;Black;Brown;Emerald Green;Gold;Green;Hunter;Light Blue;Maroon;Navy Blue;Orange;Pink;Purple;Red;Royal Blue;Silver;White
