name,color,fabric
Custom Doctorate Hood,,
Custom Diploma of Graduation Cover,,
Custom Master Hood,,
Custom Bachelor Hood,,
Shiny White Graduation Cap,White,Shiny  Tricot Fabric
Shiny Silver Graduation Cap,Silver,Shiny  Tricot Fabric
Shiny Light Blue Graduation Cap,Light Blue,Shiny  Tricot Fabric
Shiny Royal Blue Graduation Cap,Royal Blue,Shiny  Tricot Fabric
Shiny Navy Blue Graduation Cap,Navy Blue,Shiny  Tricot Fabric
Shiny Purple Graduation Cap,Purple,Shiny  Tricot Fabric
Shiny Gold Graduation Cap,Gold,Shiny  Tricot Fabric
Shiny Orange Graduation Cap,Orange,Shiny  Tricot Fabric
Shiny Pink Graduation Cap,Pink,Shiny  Tricot Fabric
Shiny Red Graduation Cap,Red,Shiny  Tricot Fabric
Shiny Maroon Graduation Cap,Maroon,Shiny  Tricot Fabric
Shiny Brown Graduation Cap,Brown,Shiny  Tricot Fabric
Shiny Green Graduation Cap,Green,Shiny  Tricot Fabric
Shiny Emerald Green Graduation Cap,Green,Shiny  Tricot Fabric
Shiny Hunter Graduation Cap,,Shiny  Tricot Fabric
Shiny Black Graduation Cap,Black,Shiny  Tricot Fabric
Matte White Graduation Cap,White,Matte Finished Fabric
Matte Royal Blue Graduation Cap,Royal Blue,Matte Finished Fabric
Matte Navy Blue Graduation Cap,Navy Blue,Matte Finished Fabric
Matte Purple Graduation Cap,Purple,Matte Finished Fabric
Matte Gold Graduation Cap,Gold,Matte Finished Fabric
Matte Red Graduation Cap,Red,Matte Finished Fabric
Matte Maroon Graduation Cap,Maroon,Matte Finished Fabric
Matte Green Graduation Cap,Green,Matte Finished Fabric
Matte Emerald Green Graduation Cap,Green,Matte Finished Fabric
Matte Hunter Graduation Cap,,Matte Finished Fabric
Matte Black Graduation Cap,Black,Matte Finished Fabric
Child White Graduation Cap,White,Shiny  Tricot Fabric
Child Silver Graduation Cap,Silver,Shiny  Tricot Fabric
Child Light Blue Graduation Cap,Light Blue,Shiny  Tricot Fabric
Child Royal Blue Graduation Cap,Royal Blue,Shiny  Tricot Fabric
Child Navy Blue Graduation Cap,Navy Blue,Shiny  Tricot Fabric
Child Purple Graduation Cap,Purple,Shiny  Tricot Fabric
Child Gold Graduation Cap,Gold,Shiny  Tricot Fabric
Child Orange Graduation Cap,Orange,Shiny  Tricot Fabric
Child Pink Graduation Cap,Pink,Shiny  Tricot Fabric
Child Red Graduation Cap,Red,Shiny  Tricot Fabric
